incident_id,opened_at,resolved_at,priority,service,category,assignment_group,ci,channel,sla_due,sla_breached,reopen_count,customer_sat
INC10031,2025-11-02 07:53:37.623315,2025-11-02 11:51:37.623315,P3,Корпоративная почта,Проблема,DBA,APP-ERP-01,Портал,2025-11-03 07:53:37.623315,False,0,4
INC10032,2025-11-03 07:49:37.623315,2025-11-03 12:57:37.623315,P2,ERP,Сервисный запрос,Service Desk L1,FW-01,Почта,2025-11-03 15:49:37.623315,False,0,2
INC10033,2025-11-03 21:30:37.623315,,P4,Data Platform,Сервисный запрос,Service Desk L1,VPN-GW-02,Мониторинг,2025-11-05 21:30:37.623315,True,0,2
INC10034,2025-11-03 12:18:37.623315,2025-11-03 15:28:37.623315,P4,Сеть офисов,Сервисный запрос,DBA,FW-01,Телефон,2025-11-05 12:18:37.623315,False,0,2
INC10035,2025-11-03 12:55:37.623315,2025-11-04 19:31:37.623315,P4,Data Platform,Инцидент,Network,VPN-GW-02,Мониторинг,2025-11-05 12:55:37.623315,False,0,3
INC10036,2025-11-03 21:04:37.623315,2025-11-06 13:22:37.623315,P4,VPN,Проблема,Service Desk L1,FW-01,Мониторинг,2025-11-05 21:04:37.623315,True,0,
INC10037,2025-11-02 23:26:37.623315,,P3,Data Platform,Инцидент,NOC,APP-ERP-01,Мониторинг,2025-11-03 23:26:37.623315,True,0,2
INC10038,2025-11-03 09:42:37.623315,2025-11-05 19:45:37.623315,P4,ERP,Инцидент,DBA,FW-01,Портал,2025-11-05 09:42:37.623315,True,2,3
INC10039,2025-11-03 07:02:37.623315,2025-11-03 08:13:37.623315,P2,Корпоративная почта,Инцидент,Application Support,FW-01,Почта,2025-11-03 15:02:37.623315,False,0,2
INC10040,2025-11-03 20:28:37.623315,2025-11-04 14:27:37.623315,P3,ERP,Инцидент,Service Desk L1,MAIL-CL-01,Портал,2025-11-04 20:28:37.623315,False,0,4
INC10041,2025-11-03 08:27:37.623315,2025-11-04 10:34:37.623315,P3,Data Platform,Проблема,Application Support,FW-01,Почта,2025-11-04 08:27:37.623315,True,0,3
INC10042,2025-11-03 20:59:37.623315,2025-11-04 03:05:37.623315,P4,ERP,Проблема,DBA,DS-CL-01,Телефон,2025-11-05 20:59:37.623315,False,0,
INC10043,2025-11-03 09:21:37.623315,2025-11-04 00:15:37.623315,P4,Data Platform,Сервисный запрос,Service Desk L2,VPN-GW-02,Почта,2025-11-05 09:21:37.623315,False,0,
INC10044,2025-11-03 16:02:37.623315,2025-11-05 01:32:37.623315,P3,Data Platform,Сервисный запрос,Service Desk L2,MAIL-CL-01,Телефон,2025-11-04 16:02:37.623315,True,0,4
INC10045,2025-11-03 01:38:37.623315,2025-11-05 17:34:37.623315,P4,Сеть офисов,Проблема,Service Desk L2,VPN-GW-02,Телефон,2025-11-05 01:38:37.623315,True,0,3
INC10046,2025-11-03 04:52:37.623315,2025-11-04 04:36:37.623315,P3,ERP,Проблема,Service Desk L2,APP-ERP-01,Портал,2025-11-04 04:52:37.623315,False,0,4
INC10047,2025-11-03 01:36:37.623315,2025-11-04 10:54:37.623315,P4,Сервис-деск,Сервисный запрос,Service Desk L2,DS-CL-01,Мониторинг,2025-11-05 01:36:37.623315,False,0,5
INC10048,2025-11-03 01:39:37.623315,2025-11-03 23:03:37.623315,P3,Сервис-деск,Проблема,Network,VPN-GW-02,Телефон,2025-11-04 01:39:37.623315,False,0,
INC10049,2025-11-03 16:42:37.623315,2025-11-04 14:07:37.623315,P3,ERP,Инцидент,NOC,DS-CL-01,Почта,2025-11-04 16:42:37.623315,False,0,
INC10050,2025-11-03 17:09:37.623315,2025-11-06 11:45:37.623315,P4,ERP,Проблема,Service Desk L1,MAIL-CL-01,Телефон,2025-11-05 17:09:37.623315,True,2,4
INC10051,2025-11-03 08:35:37.623315,2025-11-03 17:43:37.623315,P3,ERP,Инцидент,NOC,MAIL-CL-01,Телефон,2025-11-04 08:35:37.623315,False,0,4
INC10052,2025-11-03 20:16:37.623315,,P4,Корпоративная почта,Проблема,Network,VPN-GW-02,Мониторинг,2025-11-05 20:16:37.623315,True,0,4
INC10053,2025-11-03 00:37:37.623315,2025-11-03 10:02:37.623315,P4,Data Platform,Сервисный запрос,NOC,MAIL-CL-01,Портал,2025-11-05 00:37:37.623315,False,0,1
INC10054,2025-11-03 08:26:37.623315,,P4,Data Platform,Проблема,Service Desk L1,MAIL-CL-01,Почта,2025-11-05 08:26:37.623315,True,0,2
INC10055,2025-11-03 14:19:37.623315,2025-11-04 20:05:37.623315,P3,ERP,Проблема,Service Desk L1,FW-01,Портал,2025-11-04 14:19:37.623315,True,1,4
INC10056,2025-11-03 19:34:37.623315,,P3,VPN,Инцидент,Service Desk L1,FW-01,Почта,2025-11-04 19:34:37.623315,True,0,2
INC10057,2025-11-03 21:59:37.623315,,P3,ERP,Проблема,Network,DS-CL-01,Мониторинг,2025-11-04 21:59:37.623315,True,0,4
INC10058,2025-11-03 08:11:37.623315,2025-11-04 11:41:37.623315,P4,Data Platform,Инцидент,Service Desk L1,DB-PRD-01,Почта,2025-11-05 08:11:37.623315,False,1,4
INC10059,2025-11-03 01:24:37.623315,2025-11-03 21:36:37.623315,P3,Data Platform,Инцидент,DBA,DS-CL-01,Телефон,2025-11-04 01:24:37.623315,False,0,3
INC10060,2025-11-03 15:55:37.623315,,P3,Корпоративная почта,Сервисный запрос,Service Desk L2,APP-ERP-01,Телефон,2025-11-04 15:55:37.623315,True,0,4
INC10061,2025-11-03 21:14:37.623315,2025-11-04 00:33:37.623315,P4,Сервис-деск,Сервисный запрос,Service Desk L1,FW-01,Почта,2025-11-05 21:14:37.623315,False,0,
INC10062,2025-11-03 14:19:37.623315,2025-11-04 20:34:37.623315,P3,Сервис-деск,Сервисный запрос,NOC,VPN-GW-02,Телефон,2025-11-04 14:19:37.623315,True,0,3
INC10063,2025-11-03 20:27:37.623315,2025-11-06 16:35:37.623315,P4,ERP,Проблема,DBA,MAIL-CL-01,Портал,2025-11-05 20:27:37.623315,True,0,3
INC10064,2025-11-03 07:41:37.623315,2025-11-03 16:57:37.623315,P2,Корпоративная почта,Проблема,Service Desk L1,VPN-GW-02,Мониторинг,2025-11-03 15:41:37.623315,True,0,1
INC10065,2025-11-03 11:00:37.623315,2025-11-03 18:32:37.623315,P4,VPN,Сервисный запрос,Service Desk L1,DB-PRD-01,Телефон,2025-11-05 11:00:37.623315,False,0,
INC10066,2025-11-03 14:28:37.623315,2025-11-03 17:00:37.623315,P1,Сервис-деск,Инцидент,Network,MAIL-CL-01,Портал,2025-11-03 18:28:37.623315,False,0,5
INC10067,2025-11-03 07:14:37.623315,2025-11-03 23:46:37.623315,P4,Сервис-деск,Инцидент,DBA,DS-CL-01,Телефон,2025-11-05 07:14:37.623315,False,0,3
INC10068,2025-11-03 13:14:37.623315,2025-11-04 20:54:37.623315,P3,Сеть офисов,Инцидент,DBA,DB-PRD-01,Почта,2025-11-04 13:14:37.623315,True,0,3
INC10069,2025-11-03 12:42:37.623315,2025-11-03 13:33:37.623315,P4,ERP,Проблема,Network,MAIL-CL-01,Мониторинг,2025-11-05 12:42:37.623315,False,0,2
INC10070,2025-11-03 16:51:37.623315,2025-11-04 19:06:37.623315,P3,Data Platform,Сервисный запрос,Application Support,DS-CL-01,Почта,2025-11-04 16:51:37.623315,True,0,4
INC10071,2025-11-03 12:23:37.623315,2025-11-04 14:54:37.623315,P3,Data Platform,Проблема,Service Desk L2,DB-PRD-01,Мониторинг,2025-11-04 12:23:37.623315,True,1,4
INC10072,2025-11-04 19:47:37.623315,,P2,Корпоративная почта,Сервисный запрос,DBA,FW-01,Портал,2025-11-05 03:47:37.623315,True,0,1
INC10073,2025-11-04 03:45:37.623315,2025-11-05 08:51:37.623315,P3,Сеть офисов,Проблема,Service Desk L2,DB-PRD-01,Мониторинг,2025-11-05 03:45:37.623315,True,0,2
INC10074,2025-11-04 18:47:37.623315,2025-11-06 21:52:37.623315,P4,VPN,Сервисный запрос,DBA,DB-PRD-01,Телефон,2025-11-06 18:47:37.623315,True,0,
INC10075,2025-11-04 10:55:37.623315,2025-11-04 19:41:37.623315,P4,Data Platform,Сервисный запрос,Application Support,FW-01,Мониторинг,2025-11-06 10:55:37.623315,False,0,4
INC10076,2025-11-04 20:01:37.623315,,P3,ERP,Инцидент,Application Support,MAIL-CL-01,Почта,2025-11-05 20:01:37.623315,True,0,1
INC10077,2025-11-04 05:58:37.623315,2025-11-05 04:53:37.623315,P3,VPN,Проблема,NOC,APP-ERP-01,Почта,2025-11-05 05:58:37.623315,False,2,1
INC10078,2025-11-04 08:12:37.623315,2025-11-04 10:27:37.623315,P3,VPN,Инцидент,Network,DB-PRD-01,Телефон,2025-11-05 08:12:37.623315,False,0,3
INC10079,2025-11-04 00:29:37.623315,2025-11-04 09:39:37.623315,P4,Data Platform,Сервисный запрос,Network,MAIL-CL-01,Портал,2025-11-06 00:29:37.623315,False,0,4
INC10080,2025-11-04 18:23:37.623315,2025-11-07 18:04:37.623315,P4,ERP,Сервисный запрос,Service Desk L2,FW-01,Портал,2025-11-06 18:23:37.623315,True,2,2
INC10081,2025-11-04 13:04:37.623315,2025-11-04 21:08:37.623315,P2,Корпоративная почта,Инцидент,Network,MAIL-CL-01,Почта,2025-11-04 21:04:37.623315,True,0,3
INC10082,2025-11-04 19:01:37.623315,2025-11-05 21:31:37.623315,P3,Сеть офисов,Проблема,Network,VPN-GW-02,Мониторинг,2025-11-05 19:01:37.623315,True,0,
INC10083,2025-11-04 03:15:37.623315,2025-11-05 09:06:37.623315,P4,Data Platform,Сервисный запрос,Application Support,VPN-GW-02,Телефон,2025-11-06 03:15:37.623315,False,0,2
INC10084,2025-11-04 13:07:37.623315,2025-11-05 00:58:37.623315,P2,ERP,Сервисный запрос,Application Support,DS-CL-01,Мониторинг,2025-11-04 21:07:37.623315,True,0,5
INC10085,2025-11-04 01:48:37.623315,2025-11-04 04:31:37.623315,P2,Сеть офисов,Инцидент,Service Desk L1,MAIL-CL-01,Телефон,2025-11-04 09:48:37.623315,False,0,2
INC10086,2025-11-04 11:16:37.623315,2025-11-04 18:47:37.623315,P4,ERP,Проблема,Network,APP-ERP-01,Портал,2025-11-06 11:16:37.623315,False,0,4
INC10087,2025-11-04 04:03:37.623315,2025-11-05 04:27:37.623315,P3,Сеть офисов,Сервисный запрос,NOC,APP-ERP-01,Почта,2025-11-05 04:03:37.623315,True,0,1
INC10088,2025-11-04 19:00:37.623315,2025-11-06 08:00:37.623315,P4,Корпоративная почта,Инцидент,Network,DS-CL-01,Телефон,2025-11-06 19:00:37.623315,False,1,3
INC10089,2025-11-03 23:32:37.623315,2025-11-06 06:45:37.623315,P4,Корпоративная почта,Инцидент,Service Desk L2,DS-CL-01,Портал,2025-11-05 23:32:37.623315,True,0,1
INC10090,2025-11-04 05:45:37.623315,2025-11-05 07:30:37.623315,P3,ERP,Проблема,Network,MAIL-CL-01,Портал,2025-11-05 05:45:37.623315,True,1,4
INC10091,2025-11-04 05:09:37.623315,2025-11-05 00:13:37.623315,P3,Data Platform,Проблема,DBA,VPN-GW-02,Мониторинг,2025-11-05 05:09:37.623315,False,0,4
INC10092,2025-11-04 15:28:37.623315,,P3,Сервис-деск,Проблема,Service Desk L1,VPN-GW-02,Телефон,2025-11-05 15:28:37.623315,True,0,2
INC10093,2025-11-04 18:24:37.623315,2025-11-04 20:42:37.623315,P1,VPN,Сервисный запрос,Network,APP-ERP-01,Портал,2025-11-04 22:24:37.623315,False,0,
INC10094,2025-11-04 12:32:37.623315,2025-11-04 16:57:37.623315,P2,Сеть офисов,Проблема,Service Desk L2,APP-ERP-01,Портал,2025-11-04 20:32:37.623315,False,0,
INC10095,2025-11-04 00:48:37.623315,2025-11-04 03:58:37.623315,P1,Сеть офисов,Сервисный запрос,Service Desk L1,VPN-GW-02,Мониторинг,2025-11-04 04:48:37.623315,False,0,2
INC10096,2025-11-03 23:41:37.623315,2025-11-05 07:35:37.623315,P3,Сервис-деск,Сервисный запрос,NOC,VPN-GW-02,Портал,2025-11-04 23:41:37.623315,True,0,1
INC10097,2025-11-04 11:54:37.623315,2025-11-04 18:11:37.623315,P2,VPN,Сервисный запрос,Application Support,FW-01,Портал,2025-11-04 19:54:37.623315,False,0,4
INC10098,2025-11-04 10:43:37.623315,2025-11-05 07:22:37.623315,P4,VPN,Инцидент,Application Support,APP-ERP-01,Почта,2025-11-06 10:43:37.623315,False,0,4
INC10099,2025-11-04 19:25:37.623315,2025-11-06 05:38:37.623315,P3,Data Platform,Проблема,Service Desk L1,VPN-GW-02,Телефон,2025-11-05 19:25:37.623315,True,0,
INC10100,2025-11-04 09:30:37.623315,2025-11-05 06:40:37.623315,P3,ERP,Проблема,NOC,APP-ERP-01,Портал,2025-11-05 09:30:37.623315,False,0,2
INC10101,2025-11-04 00:24:37.623315,2025-11-04 07:03:37.623315,P3,Сеть офисов,Проблема,Service Desk L1,VPN-GW-02,Мониторинг,2025-11-05 00:24:37.623315,False,0,
INC10102,2025-11-04 00:49:37.623315,2025-11-05 03:01:37.623315,P4,ERP,Проблема,DBA,MAIL-CL-01,Почта,2025-11-06 00:49:37.623315,False,1,2
INC10103,2025-11-04 03:12:37.623315,2025-11-04 15:12:37.623315,P4,Сеть офисов,Проблема,Application Support,FW-01,Почта,2025-11-06 03:12:37.623315,False,0,2
INC10104,2025-11-04 15:54:37.623315,2025-11-05 11:42:37.623315,P3,Data Platform,Сервисный запрос,Network,DS-CL-01,Портал,2025-11-05 15:54:37.623315,False,0,
INC10105,2025-11-04 09:25:37.623315,2025-11-05 12:18:37.623315,P3,ERP,Сервисный запрос,Service Desk L2,DS-CL-01,Почта,2025-11-05 09:25:37.623315,True,0,1
INC10106,2025-11-04 20:30:37.623315,2025-11-07 02:30:37.623315,P4,VPN,Проблема,Service Desk L2,FW-01,Телефон,2025-11-06 20:30:37.623315,True,0,
INC10107,2025-11-04 10:13:37.623315,2025-11-04 19:42:37.623315,P2,Корпоративная почта,Проблема,Service Desk L2,VPN-GW-02,Телефон,2025-11-04 18:13:37.623315,True,0,3
INC10108,2025-11-04 04:34:37.623315,2025-11-04 18:10:37.623315,P3,VPN,Инцидент,Application Support,FW-01,Телефон,2025-11-05 04:34:37.623315,False,0,5
INC10109,2025-11-04 16:10:37.623315,2025-11-04 19:14:37.623315,P3,Сервис-деск,Сервисный запрос,Service Desk L1,DB-PRD-01,Мониторинг,2025-11-05 16:10:37.623315,False,0,4
INC10110,2025-11-04 22:10:37.623315,2025-11-06 04:32:37.623315,P3,Корпоративная почта,Сервисный запрос,Network,DS-CL-01,Почта,2025-11-05 22:10:37.623315,True,1,1
INC10111,2025-11-04 09:09:37.623315,2025-11-05 18:18:37.623315,P4,ERP,Сервисный запрос,Application Support,APP-ERP-01,Мониторинг,2025-11-06 09:09:37.623315,False,0,3
INC10112,2025-11-04 11:53:37.623315,2025-11-05 02:00:37.623315,P3,Сеть офисов,Инцидент,Network,FW-01,Мониторинг,2025-11-05 11:53:37.623315,False,0,1
INC10113,2025-11-04 03:06:37.623315,2025-11-05 18:31:37.623315,P4,Корпоративная почта,Инцидент,Network,VPN-GW-02,Почта,2025-11-06 03:06:37.623315,False,0,5
INC10114,2025-11-04 07:13:37.623315,2025-11-04 09:32:37.623315,P3,Data Platform,Инцидент,DBA,MAIL-CL-01,Телефон,2025-11-05 07:13:37.623315,False,0,5
INC10115,2025-11-04 10:35:37.623315,2025-11-04 13:56:37.623315,P1,VPN,Инцидент,NOC,APP-ERP-01,Мониторинг,2025-11-04 14:35:37.623315,False,0,4
INC10116,2025-11-05 12:06:37.623315,2025-11-07 20:30:37.623315,P4,Сеть офисов,Инцидент,Application Support,APP-ERP-01,Портал,2025-11-07 12:06:37.623315,True,0,
INC10117,2025-11-05 15:43:37.623315,2025-11-06 01:37:37.623315,P2,Сервис-деск,Проблема,Application Support,DB-PRD-01,Мониторинг,2025-11-05 23:43:37.623315,True,0,5
INC10118,2025-11-05 02:54:37.623315,2025-11-06 01:25:37.623315,P3,Сервис-деск,Инцидент,Network,MAIL-CL-01,Телефон,2025-11-06 02:54:37.623315,False,0,3
INC10119,2025-11-05 06:01:37.623315,2025-11-06 23:51:37.623315,P4,Сеть офисов,Проблема,NOC,MAIL-CL-01,Почта,2025-11-07 06:01:37.623315,False,0,1
INC10120,2025-11-05 03:31:37.623315,2025-11-07 02:06:37.623315,P4,Сеть офисов,Инцидент,NOC,FW-01,Портал,2025-11-07 03:31:37.623315,False,1,1
INC10121,2025-11-05 08:02:37.623315,2025-11-05 10:36:37.623315,P3,Data Platform,Проблема,Service Desk L1,APP-ERP-01,Телефон,2025-11-06 08:02:37.623315,False,0,
INC10122,2025-11-05 11:40:37.623315,2025-11-05 22:57:37.623315,P3,Data Platform,Сервисный запрос,DBA,VPN-GW-02,Почта,2025-11-06 11:40:37.623315,False,0,4
INC10123,2025-11-05 10:16:37.623315,2025-11-07 09:55:37.623315,P4,Data Platform,Инцидент,Network,MAIL-CL-01,Портал,2025-11-07 10:16:37.623315,False,0,2
INC10124,2025-11-05 02:38:37.623315,,P3,Корпоративная почта,Сервисный запрос,DBA,MAIL-CL-01,Мониторинг,2025-11-06 02:38:37.623315,True,0,4
INC10125,2025-11-05 10:20:37.623315,2025-11-05 21:42:37.623315,P3,Data Platform,Проблема,DBA,VPN-GW-02,Телефон,2025-11-06 10:20:37.623315,False,0,5
INC10126,2025-11-05 11:53:37.623315,2025-11-06 12:28:37.623315,P3,Корпоративная почта,Инцидент,Network,VPN-GW-02,Мониторинг,2025-11-06 11:53:37.623315,True,0,5
INC10127,2025-11-05 02:48:37.623315,2025-11-05 09:32:37.623315,P2,Data Platform,Сервисный запрос,NOC,VPN-GW-02,Портал,2025-11-05 10:48:37.623315,False,0,4
INC10128,2025-11-05 10:56:37.623315,2025-11-06 18:10:37.623315,P3,Сеть офисов,Сервисный запрос,Service Desk L1,DS-CL-01,Портал,2025-11-06 10:56:37.623315,True,0,5
INC10129,2025-11-05 11:44:37.623315,2025-11-07 14:09:37.623315,P4,VPN,Инцидент,Service Desk L1,MAIL-CL-01,Мониторинг,2025-11-07 11:44:37.623315,True,0,5
INC10130,2025-11-05 00:29:37.623315,2025-11-07 23:53:37.623315,P4,Data Platform,Инцидент,Service Desk L1,MAIL-CL-01,Почта,2025-11-07 00:29:37.623315,True,0,1
INC10131,2025-11-05 09:31:37.623315,2025-11-06 06:26:37.623315,P3,Сеть офисов,Сервисный запрос,Service Desk L1,MAIL-CL-01,Мониторинг,2025-11-06 09:31:37.623315,False,0,3
INC10132,2025-11-05 15:13:37.623315,2025-11-05 16:39:37.623315,P1,Data Platform,Проблема,Network,DS-CL-01,Портал,2025-11-05 19:13:37.623315,False,0,3
INC10133,2025-11-05 20:11:37.623315,2025-11-07 03:45:37.623315,P4,Сервис-деск,Инцидент,Service Desk L1,VPN-GW-02,Почта,2025-11-07 20:11:37.623315,False,0,
INC10134,2025-11-05 19:10:37.623315,,P4,Сервис-деск,Инцидент,NOC,MAIL-CL-01,Портал,2025-11-07 19:10:37.623315,True,0,2
INC10135,2025-11-05 09:47:37.623315,2025-11-06 14:17:37.623315,P3,Сеть офисов,Проблема,DBA,DS-CL-01,Портал,2025-11-06 09:47:37.623315,True,0,1
INC10136,2025-11-05 05:56:37.623315,2025-11-06 08:09:37.623315,P3,ERP,Инцидент,DBA,MAIL-CL-01,Телефон,2025-11-06 05:56:37.623315,True,0,
INC10137,2025-11-05 23:04:37.623315,2025-11-07 08:37:37.623315,P3,VPN,Инцидент,Network,MAIL-CL-01,Телефон,2025-11-06 23:04:37.623315,True,0,3
INC10138,2025-11-05 09:06:37.623315,2025-11-06 07:14:37.623315,P3,Data Platform,Сервисный запрос,Service Desk L1,DS-CL-01,Телефон,2025-11-06 09:06:37.623315,False,0,1
INC10139,2025-11-05 20:55:37.623315,2025-11-06 20:58:37.623315,P3,VPN,Сервисный запрос,NOC,APP-ERP-01,Портал,2025-11-06 20:55:37.623315,True,0,2
INC10140,2025-11-05 19:37:37.623315,2025-11-07 09:08:37.623315,P4,Сеть офисов,Проблема,Network,DB-PRD-01,Портал,2025-11-07 19:37:37.623315,False,0,1
INC10141,2025-11-05 06:36:37.623315,2025-11-05 10:57:37.623315,P2,Сервис-деск,Инцидент,NOC,FW-01,Мониторинг,2025-11-05 14:36:37.623315,False,0,2
INC10142,2025-11-05 03:04:37.623315,,P4,Сеть офисов,Инцидент,DBA,DS-CL-01,Мониторинг,2025-11-07 03:04:37.623315,True,0,4
INC10143,2025-11-05 08:41:37.623315,,P3,Корпоративная почта,Проблема,Service Desk L1,DB-PRD-01,Портал,2025-11-06 08:41:37.623315,True,1,4
INC10144,2025-11-05 13:17:37.623315,2025-11-05 18:44:37.623315,P4,Data Platform,Сервисный запрос,Application Support,DS-CL-01,Телефон,2025-11-07 13:17:37.623315,False,0,5
INC10145,2025-11-05 08:57:37.623315,2025-11-06 08:19:37.623315,P3,ERP,Сервисный запрос,Service Desk L2,MAIL-CL-01,Мониторинг,2025-11-06 08:57:37.623315,False,1,4
INC10146,2025-11-05 15:50:37.623315,2025-11-06 14:54:37.623315,P3,VPN,Проблема,DBA,DS-CL-01,Телефон,2025-11-06 15:50:37.623315,False,0,5
INC10147,2025-11-05 22:42:37.623315,2025-11-07 01:34:37.623315,P4,VPN,Проблема,Service Desk L2,VPN-GW-02,Мониторинг,2025-11-07 22:42:37.623315,False,0,5
INC10148,2025-11-05 12:03:37.623315,2025-11-05 20:41:37.623315,P2,ERP,Инцидент,NOC,APP-ERP-01,Мониторинг,2025-11-05 20:03:37.623315,True,0,3
INC10149,2025-11-05 09:40:37.623315,2025-11-06 04:01:37.623315,P3,Сервис-деск,Сервисный запрос,Service Desk L2,DB-PRD-01,Портал,2025-11-06 09:40:37.623315,False,0,2
INC10150,2025-11-05 08:31:37.623315,2025-11-06 06:14:37.623315,P3,Сервис-деск,Инцидент,Service Desk L2,APP-ERP-01,Телефон,2025-11-06 08:31:37.623315,False,0,4
