request_id,opened_at,closed_at,service,request_type,assignment_group,status,fulfillment_hours
REQ20034,2025-11-02 07:14:37.623315,2025-11-05 18:14:37.623315,ERP,BI-отчет,DBA,Отклонен,83
REQ20035,2025-11-03 17:42:37.623315,2025-11-04 07:42:37.623315,Data Platform,Доступ,Service Desk L1,В работе,14
REQ20036,2025-11-03 00:07:37.623315,2025-11-03 20:07:37.623315,Data Platform,Учетная запись,Application Support,Завершен,20
REQ20037,2025-11-03 15:11:37.623315,2025-11-05 02:11:37.623315,ERP,BI-отчет,Service Desk L2,В работе,35
REQ20038,2025-11-03 19:26:37.623315,2025-11-05 15:26:37.623315,Сервис-деск,BI-отчет,DBA,В работе,44
REQ20039,2025-11-03 20:06:37.623315,2025-11-06 12:06:37.623315,Сеть офисов,Доступ,Service Desk L1,Завершен,64
REQ20040,2025-11-03 07:01:37.623315,2025-11-07 00:01:37.623315,ERP,Оборудование,Service Desk L2,Завершен,89
REQ20041,2025-11-03 12:27:37.623315,2025-11-06 23:27:37.623315,Сервис-деск,Доступ,DBA,Завершен,83
REQ20042,2025-11-03 21:40:37.623315,2025-11-04 02:40:37.623315,Корпоративная почта,Сброс пароля,NOC,В работе,5
REQ20043,2025-11-03 10:44:37.623315,2025-11-05 19:44:37.623315,VPN,Оборудование,Service Desk L1,В работе,57
REQ20044,2025-11-03 18:04:37.623315,2025-11-04 19:04:37.623315,VPN,Оборудование,NOC,Отклонен,25
REQ20045,2025-11-03 12:00:37.623315,2025-11-07 05:00:37.623315,VPN,Согласование,Service Desk L1,Завершен,89
REQ20046,2025-11-03 06:50:37.623315,2025-11-06 17:50:37.623315,ERP,Согласование,Network,Отклонен,83
REQ20047,2025-11-03 00:18:37.623315,2025-11-05 13:18:37.623315,ERP,Учетная запись,Service Desk L1,Завершен,61
REQ20048,2025-11-03 01:49:37.623315,2025-11-04 23:49:37.623315,Сеть офисов,Сброс пароля,Service Desk L2,В работе,46
REQ20049,2025-11-03 21:37:37.623315,2025-11-06 09:37:37.623315,ERP,Оборудование,DBA,В работе,60
REQ20050,2025-11-03 02:36:37.623315,2025-11-05 04:36:37.623315,Сеть офисов,Сброс пароля,Service Desk L1,В работе,50
REQ20051,2025-11-03 21:39:37.623315,2025-11-04 01:39:37.623315,Сервис-деск,Согласование,Network,Завершен,4
REQ20052,2025-11-03 18:16:37.623315,2025-11-07 11:16:37.623315,Сервис-деск,Доступ,Service Desk L1,Отклонен,89
REQ20053,2025-11-03 15:14:37.623315,2025-11-05 05:14:37.623315,VPN,BI-отчет,Network,Завершен,38
REQ20054,2025-11-03 19:33:37.623315,2025-11-07 04:33:37.623315,ERP,Учетная запись,Service Desk L2,Отклонен,81
REQ20055,2025-11-03 21:14:37.623315,2025-11-04 16:14:37.623315,Сервис-деск,Доступ,Service Desk L2,Отклонен,19
REQ20056,2025-11-03 00:40:37.623315,2025-11-05 10:40:37.623315,Корпоративная почта,BI-отчет,Network,Отклонен,58
REQ20057,2025-11-03 03:26:37.623315,2025-11-04 18:26:37.623315,ERP,Учетная запись,DBA,Завершен,39
REQ20058,2025-11-03 05:29:37.623315,2025-11-06 04:29:37.623315,ERP,BI-отчет,Service Desk L1,В работе,71
REQ20059,2025-11-03 04:37:37.623315,2025-11-05 19:37:37.623315,ERP,Учетная запись,Network,Завершен,63
REQ20060,2025-11-03 13:25:37.623315,2025-11-04 09:25:37.623315,VPN,Учетная запись,Service Desk L2,Отклонен,20
REQ20061,2025-11-03 12:15:37.623315,2025-11-06 13:15:37.623315,ERP,Доступ,DBA,Завершен,73
REQ20062,2025-11-03 07:55:37.623315,2025-11-04 00:55:37.623315,Data Platform,Сброс пароля,Service Desk L2,Отклонен,17
REQ20063,2025-11-03 20:37:37.623315,2025-11-07 00:37:37.623315,Data Platform,Учетная запись,Network,Завершен,76
REQ20064,2025-11-03 20:35:37.623315,2025-11-06 10:35:37.623315,Корпоративная почта,BI-отчет,Service Desk L1,В работе,62
REQ20065,2025-11-03 18:35:37.623315,2025-11-07 06:35:37.623315,Корпоративная почта,Учетная запись,DBA,Отклонен,84
REQ20066,2025-11-04 21:51:37.623315,2025-11-07 08:51:37.623315,Сеть офисов,Доступ,NOC,Завершен,59
REQ20067,2025-11-04 07:34:37.623315,2025-11-05 04:34:37.623315,Сеть офисов,Учетная запись,Service Desk L1,Отклонен,21
REQ20068,2025-11-04 12:28:37.623315,2025-11-06 02:28:37.623315,VPN,Сброс пароля,NOC,Завершен,38
REQ20069,2025-11-04 06:47:37.623315,2025-11-07 17:47:37.623315,Сеть офисов,Согласование,NOC,Завершен,83
REQ20070,2025-11-04 14:59:37.623315,2025-11-07 12:59:37.623315,Корпоративная почта,Учетная запись,Service Desk L1,Отклонен,70
REQ20071,2025-11-04 07:06:37.623315,2025-11-05 03:06:37.623315,ERP,Согласование,NOC,Отклонен,20
REQ20072,2025-11-04 10:36:37.623315,2025-11-07 13:36:37.623315,Data Platform,Оборудование,Service Desk L2,Отклонен,75
REQ20073,2025-11-04 01:54:37.623315,2025-11-06 01:54:37.623315,Корпоративная почта,BI-отчет,Service Desk L1,Отклонен,48
REQ20074,2025-11-04 15:56:37.623315,2025-11-04 19:56:37.623315,Data Platform,Согласование,NOC,Отклонен,4
REQ20075,2025-11-04 11:44:37.623315,2025-11-05 21:44:37.623315,Сервис-деск,Доступ,Network,Завершен,34
REQ20076,2025-11-04 10:36:37.623315,2025-11-08 09:36:37.623315,Сервис-деск,Учетная запись,NOC,Отклонен,95
REQ20077,2025-11-04 23:09:37.623315,2025-11-06 19:09:37.623315,VPN,Доступ,Network,Отклонен,44
REQ20078,2025-11-04 10:13:37.623315,2025-11-07 22:13:37.623315,VPN,Учетная запись,DBA,Отклонен,84
REQ20079,2025-11-04 15:01:37.623315,2025-11-05 16:01:37.623315,VPN,Доступ,Service Desk L2,В работе,25
REQ20080,2025-11-04 00:39:37.623315,2025-11-05 03:39:37.623315,Корпоративная почта,Оборудование,NOC,В работе,27
REQ20081,2025-11-04 08:53:37.623315,2025-11-06 12:53:37.623315,Сеть офисов,Согласование,Network,Завершен,52
REQ20082,2025-11-04 19:33:37.623315,2025-11-06 09:33:37.623315,ERP,Доступ,Service Desk L2,В работе,38
REQ20083,2025-11-04 07:28:37.623315,2025-11-06 08:28:37.623315,Data Platform,Согласование,Service Desk L2,В работе,49
REQ20084,2025-11-04 11:42:37.623315,2025-11-05 12:42:37.623315,Data Platform,Учетная запись,DBA,В работе,25
REQ20085,2025-11-04 15:38:37.623315,2025-11-05 03:38:37.623315,Сервис-деск,Согласование,NOC,В работе,12
REQ20086,2025-11-04 19:13:37.623315,2025-11-05 20:13:37.623315,Сеть офисов,Сброс пароля,Network,Завершен,25
REQ20087,2025-11-04 01:41:37.623315,2025-11-07 15:41:37.623315,ERP,Сброс пароля,DBA,Отклонен,86
REQ20088,2025-11-04 21:48:37.623315,2025-11-05 20:48:37.623315,Сервис-деск,Согласование,Network,В работе,23
REQ20089,2025-11-04 01:07:37.623315,2025-11-06 00:07:37.623315,Сеть офисов,Согласование,Network,Отклонен,47
REQ20090,2025-11-04 00:25:37.623315,2025-11-07 15:25:37.623315,Сервис-деск,Согласование,Network,Отклонен,87
REQ20091,2025-11-04 23:04:37.623315,2025-11-05 21:04:37.623315,Корпоративная почта,Оборудование,Service Desk L1,Отклонен,22
REQ20092,2025-11-04 13:23:37.623315,2025-11-05 07:23:37.623315,Корпоративная почта,Оборудование,Service Desk L2,В работе,18
REQ20093,2025-11-04 10:45:37.623315,2025-11-07 12:45:37.623315,Корпоративная почта,BI-отчет,Application Support,Отклонен,74
REQ20094,2025-11-04 13:44:37.623315,2025-11-06 14:44:37.623315,Data Platform,Доступ,Service Desk L1,Завершен,49
REQ20095,2025-11-04 15:44:37.623315,2025-11-06 19:44:37.623315,ERP,Учетная запись,Network,Завершен,52
REQ20096,2025-11-04 02:22:37.623315,2025-11-08 02:22:37.623315,VPN,Согласование,Service Desk L1,В работе,96
REQ20097,2025-11-04 16:28:37.623315,2025-11-06 03:28:37.623315,ERP,Учетная запись,DBA,Завершен,35
REQ20098,2025-11-04 18:39:37.623315,2025-11-08 12:39:37.623315,Data Platform,Оборудование,NOC,Завершен,90
REQ20099,2025-11-04 01:49:37.623315,2025-11-05 01:49:37.623315,Сервис-деск,Согласование,NOC,Отклонен,24
REQ20100,2025-11-04 10:03:37.623315,2025-11-06 08:03:37.623315,Сервис-деск,Доступ,Service Desk L1,Отклонен,46
REQ20101,2025-11-04 09:18:37.623315,2025-11-06 01:18:37.623315,VPN,Учетная запись,Service Desk L2,Отклонен,40
REQ20102,2025-11-04 19:32:37.623315,2025-11-06 19:32:37.623315,Сеть офисов,Оборудование,NOC,Завершен,48
REQ20103,2025-11-04 03:36:37.623315,2025-11-06 20:36:37.623315,Корпоративная почта,Сброс пароля,Service Desk L1,Отклонен,65
REQ20104,2025-11-04 10:50:37.623315,2025-11-07 10:50:37.623315,VPN,BI-отчет,NOC,Завершен,72
REQ20105,2025-11-05 18:23:37.623315,2025-11-08 05:23:37.623315,Сеть офисов,Учетная запись,Service Desk L2,Завершен,59
REQ20106,2025-11-05 07:08:37.623315,2025-11-05 14:08:37.623315,Data Platform,Согласование,Application Support,Отклонен,7
REQ20107,2025-11-05 06:09:37.623315,2025-11-05 15:09:37.623315,VPN,BI-отчет,Network,Завершен,9
REQ20108,2025-11-05 22:57:37.623315,2025-11-07 16:57:37.623315,Сеть офисов,BI-отчет,Service Desk L2,В работе,42
REQ20109,2025-11-05 06:40:37.623315,2025-11-06 02:40:37.623315,Сервис-деск,BI-отчет,Application Support,В работе,20
REQ20110,2025-11-05 08:38:37.623315,2025-11-05 17:38:37.623315,Сеть офисов,BI-отчет,Service Desk L2,Завершен,9
REQ20111,2025-11-05 20:04:37.623315,2025-11-08 04:04:37.623315,Сеть офисов,Согласование,NOC,В работе,56
REQ20112,2025-11-05 20:03:37.623315,2025-11-07 22:03:37.623315,Сеть офисов,Сброс пароля,Service Desk L2,В работе,50
REQ20113,2025-11-05 12:30:37.623315,2025-11-07 04:30:37.623315,Data Platform,Оборудование,Service Desk L1,В работе,40
REQ20114,2025-11-05 07:15:37.623315,2025-11-06 13:15:37.623315,ERP,Учетная запись,Application Support,В работе,30
REQ20115,2025-11-05 00:56:37.623315,2025-11-07 06:56:37.623315,Data Platform,BI-отчет,Service Desk L1,Завершен,54
REQ20116,2025-11-05 11:36:37.623315,2025-11-06 21:36:37.623315,VPN,Сброс пароля,Service Desk L2,Завершен,34
REQ20117,2025-11-05 14:15:37.623315,2025-11-07 15:15:37.623315,Корпоративная почта,BI-отчет,Service Desk L2,Завершен,49
REQ20118,2025-11-05 00:38:37.623315,2025-11-07 02:38:37.623315,Сервис-деск,BI-отчет,Service Desk L1,Завершен,50
REQ20119,2025-11-05 01:33:37.623315,2025-11-08 06:33:37.623315,Сервис-деск,Учетная запись,Service Desk L1,Завершен,77
REQ20120,2025-11-05 14:34:37.623315,2025-11-07 10:34:37.623315,ERP,Доступ,Application Support,Завершен,44
REQ20121,2025-11-05 22:28:37.623315,2025-11-08 13:28:37.623315,VPN,Учетная запись,Service Desk L1,Отклонен,63
REQ20122,2025-11-05 05:46:37.623315,2025-11-06 13:46:37.623315,Сеть офисов,Сброс пароля,Network,В работе,32
REQ20123,2025-11-06 06:48:37.623315,2025-11-09 19:48:37.623315,Корпоративная почта,Учетная запись,NOC,Завершен,85
REQ20124,2025-11-06 05:51:37.623315,2025-11-06 16:51:37.623315,VPN,BI-отчет,Application Support,Отклонен,11
REQ20125,2025-11-06 20:49:37.623315,2025-11-06 23:49:37.623315,Корпоративная почта,Учетная запись,Network,Завершен,3
REQ20126,2025-11-06 13:05:37.623315,2025-11-07 07:05:37.623315,Data Platform,Доступ,Application Support,В работе,18
REQ20127,2025-11-06 02:07:37.623315,2025-11-06 17:07:37.623315,Корпоративная почта,Сброс пароля,Network,В работе,15
REQ20128,2025-11-06 03:45:37.623315,2025-11-06 22:45:37.623315,Сервис-деск,Учетная запись,Application Support,Завершен,19
REQ20129,2025-11-06 15:57:37.623315,2025-11-06 18:57:37.623315,Сеть офисов,Учетная запись,Application Support,В работе,3
REQ20130,2025-11-06 11:07:37.623315,2025-11-07 16:07:37.623315,Сервис-деск,Учетная запись,Application Support,В работе,29
REQ20131,2025-11-06 19:04:37.623315,2025-11-09 05:04:37.623315,VPN,Доступ,NOC,Завершен,58
REQ20132,2025-11-06 02:58:37.623315,2025-11-10 01:58:37.623315,Data Platform,Сброс пароля,DBA,В работе,95
REQ20133,2025-11-06 03:36:37.623315,2025-11-07 16:36:37.623315,Сервис-деск,Доступ,Application Support,Отклонен,37
REQ20134,2025-11-06 18:59:37.623315,2025-11-10 16:59:37.623315,Сеть офисов,Сброс пароля,Service Desk L2,Завершен,94
REQ20135,2025-11-06 21:17:37.623315,2025-11-08 13:17:37.623315,VPN,BI-отчет,Service Desk L1,Отклонен,40
REQ20136,2025-11-06 06:08:37.623315,2025-11-08 10:08:37.623315,ERP,Учетная запись,NOC,Завершен,52
REQ20137,2025-11-06 14:45:37.623315,2025-11-07 06:45:37.623315,VPN,Согласование,Service Desk L2,Отклонен,16
REQ20138,2025-11-06 01:54:37.623315,2025-11-06 04:54:37.623315,ERP,Сброс пароля,Application Support,В работе,3
REQ20139,2025-11-06 17:47:37.623315,2025-11-08 17:47:37.623315,Сеть офисов,Учетная запись,Application Support,В работе,48
REQ20140,2025-11-06 01:22:37.623315,2025-11-09 06:22:37.623315,Корпоративная почта,Доступ,Network,Завершен,77
REQ20141,2025-11-06 01:20:37.623315,2025-11-06 10:20:37.623315,Data Platform,BI-отчет,Network,Отклонен,9
REQ20142,2025-11-06 21:53:37.623315,2025-11-09 04:53:37.623315,Data Platform,Учетная запись,DBA,Завершен,55
REQ20143,2025-11-06 19:55:37.623315,2025-11-09 17:55:37.623315,Сеть офисов,Оборудование,Network,Завершен,70
REQ20144,2025-11-06 08:26:37.623315,2025-11-09 03:26:37.623315,VPN,Оборудование,Service Desk L1,В работе,67
REQ20145,2025-11-06 11:58:37.623315,2025-11-09 22:58:37.623315,Сервис-деск,Учетная запись,Service Desk L2,Завершен,83
REQ20146,2025-11-06 09:05:37.623315,2025-11-08 18:05:37.623315,Сервис-деск,Оборудование,NOC,Завершен,57
REQ20147,2025-11-06 02:20:37.623315,2025-11-08 11:20:37.623315,Корпоративная почта,Согласование,Service Desk L1,Отклонен,57
REQ20148,2025-11-06 00:40:37.623315,2025-11-09 15:40:37.623315,Сервис-деск,Учетная запись,Service Desk L2,Завершен,87
REQ20149,2025-11-06 02:21:37.623315,2025-11-09 22:21:37.623315,VPN,Учетная запись,NOC,Завершен,92
REQ20150,2025-11-06 14:43:37.623315,2025-11-09 10:43:37.623315,Сеть офисов,Учетная запись,Network,Завершен,68
REQ20151,2025-11-06 10:29:37.623315,2025-11-07 22:29:37.623315,Сервис-деск,Доступ,NOC,В работе,36
REQ20152,2025-11-06 12:38:37.623315,2025-11-09 09:38:37.623315,Корпоративная почта,Сброс пароля,Service Desk L2,Отклонен,69
REQ20153,2025-11-06 19:25:37.623315,2025-11-09 12:25:37.623315,Data Platform,BI-отчет,Network,Завершен,65
REQ20154,2025-11-06 15:15:37.623315,2025-11-09 17:15:37.623315,VPN,Сброс пароля,Application Support,В работе,74
REQ20155,2025-11-06 03:18:37.623315,2025-11-09 06:18:37.623315,Сервис-деск,Учетная запись,NOC,Завершен,75
REQ20156,2025-11-06 22:53:37.623315,2025-11-07 00:53:37.623315,Корпоративная почта,Доступ,Application Support,Завершен,2
REQ20157,2025-11-06 14:44:37.623315,2025-11-08 17:44:37.623315,VPN,Оборудование,NOC,Отклонен,51
REQ20158,2025-11-06 22:08:37.623315,2025-11-10 11:08:37.623315,Data Platform,Оборудование,Network,Завершен,85
REQ20159,2025-11-06 13:19:37.623315,2025-11-10 11:19:37.623315,ERP,Сброс пароля,NOC,Отклонен,94
REQ20160,2025-11-07 21:33:37.623315,2025-11-09 10:33:37.623315,ERP,Согласование,Service Desk L1,В работе,37
REQ20161,2025-11-07 20:20:37.623315,2025-11-08 13:20:37.623315,Сервис-деск,Доступ,Application Support,В работе,17
REQ20162,2025-11-07 14:59:37.623315,2025-11-10 01:59:37.623315,VPN,Согласование,Service Desk L1,Отклонен,59
REQ20163,2025-11-07 10:43:37.623315,2025-11-08 08:43:37.623315,ERP,Учетная запись,Service Desk L2,Завершен,22
REQ20164,2025-11-07 08:22:37.623315,2025-11-09 11:22:37.623315,Корпоративная почта,Оборудование,Service Desk L1,Завершен,51
REQ20165,2025-11-07 07:02:37.623315,2025-11-08 13:02:37.623315,Сервис-деск,Оборудование,Network,Отклонен,30
REQ20166,2025-11-07 12:53:37.623315,2025-11-07 16:53:37.623315,Сервис-деск,Доступ,DBA,Завершен,4
REQ20167,2025-11-07 19:32:37.623315,2025-11-11 01:32:37.623315,Корпоративная почта,Оборудование,Network,Отклонен,78
REQ20168,2025-11-07 09:06:37.623315,2025-11-11 05:06:37.623315,Сервис-деск,Сброс пароля,DBA,В работе,92
REQ20169,2025-11-07 10:50:37.623315,2025-11-08 20:50:37.623315,VPN,Согласование,Network,Отклонен,34
REQ20170,2025-11-07 16:13:37.623315,2025-11-11 01:13:37.623315,Data Platform,BI-отчет,NOC,Завершен,81
REQ20171,2025-11-07 16:03:37.623315,2025-11-09 17:03:37.623315,Сеть офисов,Учетная запись,Service Desk L1,Отклонен,49
REQ20172,2025-11-07 08:40:37.623315,2025-11-11 01:40:37.623315,Корпоративная почта,Согласование,NOC,В работе,89
REQ20173,2025-11-07 08:01:37.623315,2025-11-09 03:01:37.623315,ERP,Сброс пароля,Service Desk L2,Отклонен,43
REQ20174,2025-11-07 19:40:37.623315,2025-11-08 21:40:37.623315,VPN,BI-отчет,Application Support,Завершен,26
REQ20175,2025-11-07 18:46:37.623315,2025-11-11 08:46:37.623315,ERP,Учетная запись,Application Support,Отклонен,86
REQ20176,2025-11-07 00:02:37.623315,2025-11-09 17:02:37.623315,ERP,Сброс пароля,DBA,В работе,65
REQ20177,2025-11-07 12:08:37.623315,2025-11-07 18:08:37.623315,Сеть офисов,Учетная запись,Service Desk L1,Завершен,6
REQ20178,2025-11-07 10:07:37.623315,2025-11-11 07:07:37.623315,VPN,Учетная запись,Service Desk L1,Отклонен,93
REQ20179,2025-11-07 15:19:37.623315,2025-11-11 06:19:37.623315,ERP,BI-отчет,Network,Завершен,87
REQ20180,2025-11-07 21:17:37.623315,2025-11-10 22:17:37.623315,VPN,Сброс пароля,NOC,В работе,73
REQ20181,2025-11-07 04:08:37.623315,2025-11-08 15:08:37.623315,Сервис-деск,BI-отчет,Application Support,Отклонен,35
REQ20182,2025-11-07 10:02:37.623315,2025-11-07 23:02:37.623315,VPN,Сброс пароля,Application Support,Отклонен,13
REQ20183,2025-11-07 08:47:37.623315,2025-11-09 04:47:37.623315,ERP,Сброс пароля,Service Desk L1,В работе,44
REQ20184,2025-11-07 14:15:37.623315,2025-11-08 07:15:37.623315,Data Platform,Доступ,Service Desk L2,Отклонен,17
REQ20185,2025-11-07 18:00:37.623315,2025-11-08 05:00:37.623315,Data Platform,Оборудование,Service Desk L1,Завершен,11
REQ20186,2025-11-08 14:06:37.623315,2025-11-10 10:06:37.623315,Корпоративная почта,Доступ,NOC,Завершен,44
REQ20187,2025-11-08 05:11:37.623315,2025-11-09 15:11:37.623315,Сеть офисов,Доступ,Service Desk L1,Завершен,34
REQ20188,2025-11-08 07:47:37.623315,2025-11-10 10:47:37.623315,Data Platform,Учетная запись,DBA,В работе,51
REQ20189,2025-11-08 09:22:37.623315,2025-11-10 12:22:37.623315,Сервис-деск,Доступ,Service Desk L1,Завершен,51
REQ20190,2025-11-08 20:07:37.623315,2025-11-12 05:07:37.623315,Корпоративная почта,Учетная запись,Service Desk L1,Завершен,81
REQ20191,2025-11-08 22:15:37.623315,2025-11-09 09:15:37.623315,ERP,BI-отчет,NOC,В работе,11
REQ20192,2025-11-08 20:40:37.623315,2025-11-12 03:40:37.623315,Корпоративная почта,Сброс пароля,DBA,В работе,79
REQ20193,2025-11-08 12:13:37.623315,2025-11-12 02:13:37.623315,Корпоративная почта,Согласование,Application Support,Отклонен,86
REQ20194,2025-11-08 06:29:37.623315,2025-11-10 10:29:37.623315,Сеть офисов,Сброс пароля,Service Desk L2,Завершен,52
REQ20195,2025-11-08 09:04:37.623315,2025-11-12 08:04:37.623315,Сервис-деск,Сброс пароля,NOC,Отклонен,95
REQ20196,2025-11-08 16:30:37.623315,2025-11-09 09:30:37.623315,Корпоративная почта,Доступ,Service Desk L1,Отклонен,17
REQ20197,2025-11-08 11:55:37.623315,2025-11-11 11:55:37.623315,Корпоративная почта,Сброс пароля,Application Support,Отклонен,72
REQ20198,2025-11-08 23:18:37.623315,2025-11-12 21:18:37.623315,ERP,Оборудование,DBA,Отклонен,94
REQ20199,2025-11-08 15:30:37.623315,2025-11-09 13:30:37.623315,VPN,Оборудование,Service Desk L1,В работе,22
REQ20200,2025-11-08 05:28:37.623315,2025-11-09 06:28:37.623315,Сервис-деск,BI-отчет,NOC,Отклонен,25
REQ20201,2025-11-09 08:49:37.623315,2025-11-12 18:49:37.623315,VPN,Оборудование,Service Desk L1,Завершен,82
REQ20202,2025-11-08 23:23:37.623315,2025-11-12 13:23:37.623315,ERP,Сброс пароля,DBA,В работе,86
REQ20203,2025-11-09 17:20:37.623315,2025-11-11 05:20:37.623315,Сеть офисов,Согласование,Application Support,Отклонен,36
REQ20204,2025-11-09 16:32:37.623315,2025-11-12 21:32:37.623315,Сеть офисов,Согласование,Service Desk L2,Отклонен,77
REQ20205,2025-11-09 20:17:37.623315,2025-11-12 22:17:37.623315,Data Platform,BI-отчет,Service Desk L2,Отклонен,74
REQ20206,2025-11-09 16:40:37.623315,2025-11-11 14:40:37.623315,Data Platform,BI-отчет,Application Support,Завершен,46
REQ20207,2025-11-09 13:40:37.623315,2025-11-11 13:40:37.623315,Data Platform,Сброс пароля,Application Support,В работе,48
REQ20208,2025-11-08 23:21:37.623315,2025-11-11 19:21:37.623315,VPN,Сброс пароля,Network,В работе,68
REQ20209,2025-11-09 16:21:37.623315,2025-11-13 10:21:37.623315,Data Platform,Согласование,Network,Завершен,90
REQ20210,2025-11-09 13:12:37.623315,2025-11-11 04:12:37.623315,Сеть офисов,Оборудование,NOC,Отклонен,39
REQ20211,2025-11-09 10:33:37.623315,2025-11-11 16:33:37.623315,Сеть офисов,Согласование,DBA,Завершен,54
REQ20212,2025-11-09 05:06:37.623315,2025-11-13 05:06:37.623315,Сервис-деск,Согласование,DBA,Завершен,96
REQ20213,2025-11-09 07:26:37.623315,2025-11-11 15:26:37.623315,Сервис-деск,Оборудование,Service Desk L1,Отклонен,56
REQ20214,2025-11-09 22:04:37.623315,2025-11-11 10:04:37.623315,ERP,Учетная запись,Service Desk L2,Отклонен,36
REQ20215,2025-11-09 07:47:37.623315,2025-11-10 09:47:37.623315,Корпоративная почта,Оборудование,Application Support,В работе,26
REQ20216,2025-11-09 03:01:37.623315,2025-11-11 15:01:37.623315,Сеть офисов,Согласование,Network,Отклонен,60
REQ20217,2025-11-09 18:52:37.623315,2025-11-10 20:52:37.623315,ERP,Доступ,Application Support,Завершен,26
REQ20218,2025-11-09 16:22:37.623315,2025-11-10 17:22:37.623315,Корпоративная почта,Сброс пароля,Network,Завершен,25
